,CustomerID,Recency,Frequency,Monetary,cluster_label,Recency_log,Frequency_log,Monetary_log
1057,2611051000105B1,640,1,40000,3,6.46302945692067,0.6931471805599453,10.596659732783579
1058,2611051000105B5,640,66,822370,2,6.46302945692067,4.204692619390966,13.619946910415381
1059,2611051000106B1,640,5,101200,0,6.46302945692067,1.791759469228055,11.524863917209606
1060,2611051000107B3,640,28,241300,2,6.46302945692067,3.367295829986474,12.39380039582335
1061,2611051000107B5,640,17,337400,2,6.46302945692067,2.8903717578961645,12.729027412930751
1062,2611051000202B1,640,4,48600,3,6.46302945692067,1.6094379124341003,10.791399385808587
1063,2611051000202B3,640,400,2582270,1,6.46302945692067,5.993961427306569,14.764179802278449
1064,2611051000202B4,640,1,1000000,0,6.46302945692067,0.6931471805599453,13.815511557963774
1065,2611051000203B5,640,19,7663870,2,6.46302945692067,2.995732273553991,15.85202776654963
1066,2611051000204B1,640,3,1160000,0,6.46302945692067,1.3862943611198906,13.963931425151141
1067,2611051000204B3,640,478,17871700,1,6.46302945692067,6.171700597410915,16.6987290700706
1068,2611051000204B5,640,1,580000,0,6.46302945692067,0.6931471805599453,13.270785106659046
1069,2611051000204B8,640,1,5000,3,6.46302945692067,0.6931471805599453,8.517393171418904
1070,2611051000205B3,640,27,965000,2,6.46302945692067,3.332204510175204,13.779884416590017
1071,2611051000206B1,640,2,316500,0,6.46302945692067,1.0986122886681098,12.66508168011904
1072,2611051000206B3,640,132,1287790,1,6.46302945692067,4.890349128221754,14.068438905398963
1073,2611051000206B5,640,146,2976580,1,6.46302945692067,4.990432586778736,14.90628588437514
1074,2611051000206B8,640,1,550000,0,6.46302945692067,0.6931471805599453,13.217675375388819
1075,2611051000207B3,640,67,472900,2,6.46302945692067,4.219507705176107,13.0666413432417
1076,2611051000207B4,640,2,956000,0,6.46302945692067,1.0986122886681098,13.770514238058096
1077,2611051000207B6,640,2,9000,3,6.46302945692067,1.0986122886681098,9.105090961257085
1078,2611051000207B8,640,3,1170000,0,6.46302945692067,1.3862943611198906,13.972515161474428
1079,2611054500102B4,640,94,683810,2,6.46302945692067,4.553876891600541,13.435436842632972
1080,2611054500103B1,640,7,156600,0,6.46302945692067,2.0794415416798357,11.961456448214491
1081,2611054500103B3,640,19,404000,2,6.46302945692067,2.995732273553991,12.90917263218775
1082,2611054500103B5,640,3,14300,3,6.46302945692067,1.3862943611198906,9.568084743872936
1083,2611054500103B8,640,2,343500,0,6.46302945692067,1.0986122886681098,12.746945301848456
1084,2611054500105B1,640,4,203600,0,6.46302945692067,1.6094379124341003,12.223917475237798
1085,2611054500105B5,640,33,378800,2,6.46302945692067,3.5263605246161616,12.844766280206098
1086,2611054500202B1,640,1,60500,3,6.46302945692067,0.6931471805599453,11.010415172807951
1087,2611054500202B3,640,1,20000,3,6.46302945692067,0.6931471805599453,9.90353755128617
1088,2611054500202B8,640,1,150000,0,6.46302945692067,0.6931471805599453,11.918397239722838
1089,2611054500203B3,640,87,599400,2,6.46302945692067,4.477336814478207,13.30368610219831
1090,2611054500203B5,640,6,244100,0,6.46302945692067,1.9459101490553132,12.405337353054348
1091,2611054500203B8,640,2,33000,3,6.46302945692067,1.0986122886681098,10.404293143019792
1092,2611054500204B1,640,5,240000,0,6.46302945692067,1.791759469228055,12.388398368982115
1093,2611054500204B3,640,8,67250,0,6.46302945692067,2.1972245773362196,11.116187167242005
1094,2611054500204B5,640,1,50000,3,6.46302945692067,0.6931471805599453,10.819798284210286
1095,2611054500205B3,640,160,6819600,1,6.46302945692067,5.081404364984463,15.735311523709369
1096,2611054500205B7,640,1,166000,0,6.46302945692067,0.6931471805599453,12.019749091416921
